id,Geographic Area Name,Labor Force Participation Rate
0500000US13095,"Dougherty County, Georgia",57.0
0500000US13151,"Henry County, Georgia",68.6
0500000US13153,"Houston County, Georgia",66.0
0500000US17183,"Vermilion County, Illinois",54.5
0500000US17197,"Will County, Illinois",69.7
0500000US18141,"St. Joseph County, Indiana",66.4
0500000US19163,"Scott County, Iowa",67.5
0500000US23019,"Penobscot County, Maine",59.4
0500000US26111,"Midland County, Michigan",58.5
0500000US26115,"Monroe County, Michigan",60.9
0500000US27145,"Stearns County, Minnesota",70.4
0500000US35061,"Valencia County, New Mexico",51.0
0500000US36101,"Steuben County, New York",58.8
0500000US37097,"Iredell County, North Carolina",65.1
0500000US38017,"Cass County, North Dakota",74.3
0500000US38101,"Ward County, North Dakota",71.2
0500000US41051,"Multnomah County, Oregon",70.1
0500000US42021,"Cambria County, Pennsylvania",56.3
0500000US48485,"Wichita County, Texas",60.9
0500000US51015,"Augusta County, Virginia",58.0
0500000US51550,"Chesapeake city, Virginia",66.0
0500000US51770,"Roanoke city, Virginia",64.2
0500000US54011,"Cabell County, West Virginia",52.3
0500000US55141,"Wood County, Wisconsin",62.3
0500000US72061,"Guaynabo Municipio, Puerto Rico",52.6
0500000US01083,"Limestone County, Alabama",57.1
0500000US05051,"Garland County, Arkansas",52.2
0500000US08069,"Larimer County, Colorado",67.4
0500000US12035,"Flagler County, Florida",49.5
0500000US17201,"Winnebago County, Illinois",64.6
0500000US24025,"Harford County, Maryland",67.4
0500000US30031,"Gallatin County, Montana",72.6
0500000US37157,"Rockingham County, North Carolina",55.0
0500000US39155,"Trumbull County, Ohio",55.4
0500000US42019,"Butler County, Pennsylvania",63.0
0500000US42049,"Erie County, Pennsylvania",61.2
0500000US42079,"Luzerne County, Pennsylvania",60.9
0500000US45055,"Kershaw County, South Carolina",58.4
0500000US51107,"Loudoun County, Virginia",74.9
0500000US72135,"Toa Alta Municipio, Puerto Rico",N
0500000US01073,"Jefferson County, Alabama",60.7
0500000US04013,"Maricopa County, Arizona",64.6
0500000US05069,"Jefferson County, Arkansas",47.2
0500000US05145,"White County, Arkansas",53.0
0500000US06079,"San Luis Obispo County, California",56.8
0500000US08014,"Broomfield County, Colorado",N
0500000US09009,"New Haven County, Connecticut",64.9
0500000US12061,"Indian River County, Florida",48.5
0500000US13021,"Bibb County, Georgia",58.2
0500000US13089,"DeKalb County, Georgia",70.0
0500000US13127,"Glynn County, Georgia",60.7
0500000US16001,"Ada County, Idaho",65.9
0500000US17111,"McHenry County, Illinois",70.5
0500000US17179,"Tazewell County, Illinois",59.2
0500000US18053,"Grant County, Indiana",57.5
0500000US18081,"Johnson County, Indiana",71.0
0500000US19103,"Johnson County, Iowa",70.4
0500000US26099,"Macomb County, Michigan",64.4
0500000US27131,"Rice County, Minnesota",63.9
0500000US29051,"Cole County, Missouri",N
0500000US29071,"Franklin County, Missouri",64.9
0500000US33017,"Strafford County, New Hampshire",67.5
0500000US36067,"Onondaga County, New York",61.7
0500000US36069,"Ontario County, New York",63.5
0500000US37069,"Franklin County, North Carolina",N
0500000US37161,"Rutherford County, North Carolina",55.6
0500000US39169,"Wayne County, Ohio",63.0
0500000US41019,"Douglas County, Oregon",51.6
0500000US42055,"Franklin County, Pennsylvania",64.4
0500000US42133,"York County, Pennsylvania",64.9
0500000US44007,"Providence County, Rhode Island",63.4
0500000US45013,"Beaufort County, South Carolina",54.6
0500000US47125,"Montgomery County, Tennessee",64.6
0500000US47165,"Sumner County, Tennessee",65.3
0500000US48251,"Johnson County, Texas",61.5
0500000US48309,"McLennan County, Texas",60.3
0500000US48397,"Rockwall County, Texas",69.4
0500000US48409,"San Patricio County, Texas",58.1
0500000US49049,"Utah County, Utah",68.9
0500000US51179,"Stafford County, Virginia",71.5
0500000US51510,"Alexandria city, Virginia",76.8
0500000US53077,"Yakima County, Washington",60.7
0500000US72025,"Caguas Municipio, Puerto Rico",48.5
0500000US01089,"Madison County, Alabama",63.3
0500000US06087,"Santa Cruz County, California",63.7
0500000US12085,"Martin County, Florida",47.3
0500000US15003,"Honolulu County, Hawaii",67.0
0500000US16055,"Kootenai County, Idaho",61.4
