id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US23031,"York County, Maine",22142,6799,38788,14578,69493,171367,167441,161590,59689,52062,42314,17169
0500000US24027,"Howard County, Maryland",45105,14355,78570,25686,124733,253875,244626,234870,63880,56714,44739,16684
0500000US24031,"Montgomery County, Maryland",136663,41597,244087,82237,402659,835782,808480,774268,229016,202674,163645,70714
0500000US27053,"Hennepin County, Minnesota",152025,43053,276542,107152,536465,1011141,982886,938521,251746,220811,176860,73165
0500000US28067,"Jones County, Mississippi",9067,3011,17031,5453,26714,53798,51430,48425,17432,14927,11875,4722
0500000US29510,"St. Louis city, Missouri",30577,8076,57502,27453,136475,251015,245336,236381,63541,54271,41739,16533
0500000US34013,"Essex County, New Jersey",105531,30893,188978,70473,323531,630633,610789,580368,156065,138956,108532,46590
0500000US34021,"Mercer County, New Jersey",43733,14034,78695,42080,149221,300103,291116,274364,79032,68076,56001,23386
0500000US36113,"Warren County, New York",6161,2250,11357,4618,21265,54356,52908,50870,20637,18449,14361,5854
0500000US36117,"Wayne County, New York",11047,3199,19313,6611,29828,72934,70751,68117,24219,21205,17292,7362
0500000US37129,"New Hanover County, North Carolina",25500,6721,41986,30716,97084,194880,190288,177345,55769,51066,41479,16453
0500000US39081,"Jefferson County, Ohio",6951,2409,12485,6351,22544,54805,53282,51077,19825,18221,14457,6246
0500000US42085,"Mercer County, Pennsylvania",12051,3942,21247,10781,38307,92056,89436,84175,32407,28942,23990,10800
0500000US42111,"Somerset County, Pennsylvania",7285,2454,13094,5054,24768,62793,60858,58688,22637,19909,16525,7462
0500000US51800,"Suffolk city, Virginia",12552,3647,22080,7184,34376,72305,69105,66682,19483,16750,13145,5323
0500000US53033,"King County, Washington",252208,71272,452860,181038,997414,1826241,1780303,1708025,420770,367735,294891,117464
0500000US54033,"Harrison County, West Virginia",7661,2930,14002,5542,24405,55384,53552,50746,19181,16885,13272,5700
0500000US06111,"Ventura County, California",110817,33925,194458,79873,334352,679810,656509,621087,183056,160620,132219,56159
0500000US09005,"Litchfield County, Connecticut",18741,6793,33007,13622,58259,152876,148104,142441,54354,47152,37897,15572
0500000US09007,"Middlesex County, Connecticut",16764,5745,28778,14777,57214,137651,133904,126847,46246,40406,32442,13930
0500000US12023,"Columbia County, Florida",8709,2276,15313,5900,25855,56678,55190,51676,18109,16206,12978,5545
0500000US13047,"Catoosa County, Georgia",8240,2548,14028,6624,25480,55076,53392,51474,16359,14491,12069,4996
0500000US13247,"Rockdale County, Georgia",13549,3914,22317,8058,34454,71051,68277,63699,18996,16328,12806,4758
0500000US13297,"Walton County, Georgia",13166,4199,23405,8095,35637,73162,70098,65863,18805,16783,14070,5925
0500000US16005,"Bannock County, Idaho",12594,4409,22544,9031,37535,67606,64594,60496,16930,14558,12344,4984
0500000US24003,"Anne Arundel County, Maryland",71667,20824,127974,49873,229435,461416,448057,429688,121105,106071,84811,34496
0500000US28033,"DeSoto County, Mississippi",26479,8835,46708,15761,73905,141632,135293,127036,34610,29642,22973,9180
0500000US29097,"Jasper County, Missouri",17620,4558,30076,10606,47597,93580,90560,86398,24457,22137,18699,8066
0500000US30029,"Flathead County, Montana",12995,3813,22476,7073,35606,82687,79630,76800,28598,25222,19958,7346
0500000US35001,"Bernalillo County, New Mexico",84709,25520,147370,61949,275043,548549,531331,504386,153101,134441,111216,44531
0500000US36005,"Bronx County, New York",195031,57254,355049,142692,611238,1115777,1077083,1020096,258173,227713,183165,81194
0500000US37019,"Brunswick County, North Carolina",11100,4267,20910,8460,36282,119042,115834,112305,57841,53529,43663,14281
0500000US37021,"Buncombe County, North Carolina",26315,8364,47576,19919,97995,217209,211527,204227,70645,63828,51821,21452
0500000US37127,"Nash County, North Carolina",12453,3172,20421,7312,33417,75869,73595,70354,24766,20780,17446,6780
0500000US37193,"Wilkes County, North Carolina",7408,2779,14044,4772,22609,56324,54513,51559,20609,19222,14695,6305
0500000US39035,"Cuyahoga County, Ohio",141654,45007,257827,108749,472767,1015678,986030,942915,315328,277520,226137,100588
0500000US39061,"Hamilton County, Ohio",103206,31164,187275,75850,328830,650356,629409,597352,176569,155321,125017,53113
0500000US39165,"Warren County, Ohio",32773,10689,56555,18117,88141,182403,175618,167182,45673,41034,33380,13230
0500000US40017,"Canadian County, Oklahoma",21781,5794,37771,11506,59319,110262,106676,101089,26979,23730,18831,7272
0500000US42029,"Chester County, Pennsylvania",68003,21660,118708,46609,193654,417840,403338,382894,120917,107591,85168,35546
0500000US42077,"Lehigh County, Pennsylvania",47380,14002,83219,33733,141926,294087,284881,270583,85724,76489,62294,27370
0500000US45063,"Lexington County, South Carolina",39337,11865,68466,21516,112365,234446,226566,215700,66741,58015,46772,18017
0500000US47119,"Maury County, Tennessee",12638,3506,22116,6446,35609,74454,72224,68899,20713,17790,14739,5968
0500000US47189,"Wilson County, Tennessee",19437,6046,33657,9861,52404,110741,106968,103079,31831,27335,22498,8420
0500000US48203,"Harrison County, Texas",9951,3698,16892,7210,26560,52209,49834,46542,15607,14165,10877,4148
0500000US51041,"Chesterfield County, Virginia",46753,15209,82720,30892,134729,277130,265836,251912,74491,66985,52026,18616
0500000US55131,"Washington County, Wisconsin",16752,5436,29755,9678,46743,109378,105938,102356,34701,30638,24354,10425
0500000US09003,"Hartford County, Connecticut",104957,34589,187303,80855,343738,730504,705394,669385,211880,187468,152674,68092
0500000US12033,"Escambia County, Florida",36961,10025,65783,36055,127882,256430,249751,233353,74701,65633,52996,22175
0500000US18039,"Elkhart County, Indiana",31882,9269,56622,18347,78771,155311,148938,141211,41493,36631,29730,12966
