id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over
0500000US42041,"Cumberland County, Pennsylvania",14164,4179,24509,13253,46662,105117,102453,96511,35067,31989,26555,11984
0500000US47065,"Hamilton County, Tennessee",20552,6196,36905,16439,72102,156659,151953,144571,49382,44633,36073,16241
0500000US47179,"Washington County, Tennessee",7342,1811,11663,7966,25317,55526,53955,50519,17973,16055,12984,5837
0500000US49005,"Cache County, Utah",10711,2930,19092,12207,30854,46333,44340,40150,8330,7443,6058,2645
0500000US53015,"Cowlitz County, Washington",7006,2221,12727,4167,19503,43932,42667,41284,15395,13771,11097,4546
0500000US54081,"Raleigh County, West Virginia",4557,1268,7525,2544,12719,30384,29299,28029,11315,10439,8454,3737
0500000US72013,"Arecibo Municipio, Puerto Rico",4166,1423,7135,3721,15273,36949,35784,34492,13192,11885,10297,4878
0500000US01103,"Morgan County, Alabama",7239,1957,12283,4847,21446,48949,47590,45601,16170,14862,11815,5002
0500000US06031,"Kings County, California",11341,3075,19859,6538,28243,50136,47916,44917,11180,10203,8401,3889
0500000US06089,"Shasta County, California",10808,3158,18604,6898,31508,74280,72757,70025,27054,24791,20086,8843
0500000US12073,"Leon County, Florida",15332,4300,26876,33356,76688,129886,127218,110817,30871,27427,21708,8563
0500000US12103,"Pinellas County, Florida",43200,13398,77260,31930,159407,439068,430253,417799,175741,158051,134294,64474
0500000US17093,"Kendall County, Illinois",12180,2498,18625,5825,27157,48366,46889,43717,10276,8881,7348,3325
0500000US26017,"Bay County, Michigan",6011,2237,10545,4053,18034,43847,42087,39671,16124,14264,11418,5367
0500000US26159,"Van Buren County, Michigan",4587,1549,8196,3147,12612,30384,29447,28190,10282,9405,7634,3270
0500000US32031,"Washoe County, Nevada",27435,8093,48943,20335,90205,188129,182138,172976,56193,50515,39771,14823
0500000US33013,"Merrimack County, New Hampshire",8685,2772,14788,6809,26958,64353,62332,59180,21929,18229,15839,6776
0500000US39045,"Fairfield County, Ohio",9823,3543,18045,5992,28234,62071,59786,57410,18983,16863,13614,5772
0500000US45041,"Florence County, South Carolina",9508,2567,16511,6603,28044,60134,58092,55037,18073,15459,13511,5605
0500000US48005,"Angelina County, Texas",6192,1617,10143,3526,16196,34908,33952,32065,9796,9020,7737,3716
0500000US53057,"Skagit County, Washington",7623,2672,13948,4010,23084,52625,51196,49916,18888,17558,14463,6204
0500000US53067,"Thurston County, Washington",16960,5522,30150,10934,57017,120386,116612,111956,37901,33084,27128,10427
0500000US54039,"Kanawha County, West Virginia",9391,3000,16831,6535,32041,78366,76590,74030,28285,26323,21804,9685
0500000US55025,"Dane County, Wisconsin",30351,9529,54788,36096,122105,225454,218601,204530,57058,49706,41395,17392
0500000US01097,"Mobile County, Alabama",25713,8468,47481,18381,83289,175202,169267,162886,51682,45713,38210,16738
0500000US06013,"Contra Costa County, California",72390,22855,126660,45433,220706,475544,460572,442498,139334,122594,101669,43935
0500000US12083,"Marion County, Florida",17989,6153,33264,11955,55093,159977,155360,149369,69421,64618,56239,25944
0500000US12091,"Okaloosa County, Florida",13400,3103,23158,7200,37519,81904,79797,76922,25327,21949,18492,7581
0500000US12117,"Seminole County, Florida",27597,9161,48484,18658,96022,198933,193393,185292,56721,49636,41348,17886
0500000US13073,"Columbia County, Georgia",11624,3083,19727,6201,29984,61162,59459,57135,16578,13977,11522,4224
0500000US13095,"Dougherty County, Georgia",6045,1673,10162,7511,21202,40007,39044,36159,10720,9348,8199,3551
0500000US13151,"Henry County, Georgia",16696,6076,28927,11176,50621,95746,92005,88753,22238,18519,14746,5435
0500000US13153,"Houston County, Georgia",11235,2588,18490,6056,30767,61389,59439,56236,16368,13660,10883,4506
0500000US17183,"Vermilion County, Illinois",4885,1535,8983,3142,12839,30442,29508,28283,10351,9528,8227,3788
0500000US17197,"Will County, Illinois",47881,16134,83990,30313,134220,273783,264335,251242,70107,61564,50057,21034
0500000US18141,"St. Joseph County, Indiana",17528,5197,31650,14917,54018,110261,107317,99282,33768,29617,24192,11294
0500000US19163,"Scott County, Iowa",11772,3032,20208,7476,32771,69726,67982,64661,21353,19099,15547,7155
0500000US23019,"Penobscot County, Maine",7254,2458,12981,7519,28645,64514,63015,59690,20251,18088,15163,6739
0500000US26111,"Midland County, Michigan",5242,1550,9125,3067,14703,34773,33447,32349,12110,10795,8841,4082
0500000US26115,"Monroe County, Michigan",8789,2999,15738,5793,25563,62211,60278,57791,20860,18560,15248,6955
0500000US27145,"Stearns County, Minnesota",10149,2865,17949,11784,32179,63044,61168,55270,17296,15589,12961,6073
0500000US35061,"Valencia County, New Mexico",4476,1171,7901,3022,13899,30135,29421,28297,10704,9582,7259,3029
0500000US36101,"Steuben County, New York",5737,1680,9785,3406,15629,38751,37588,36107,13514,11714,9984,4526
0500000US37097,"Iredell County, North Carolina",11794,4063,20608,6641,32912,73312,70443,67408,20904,18882,15393,6567
0500000US38017,"Cass County, North Dakota",10145,2467,19109,12226,41236,70667,69252,65372,17871,15066,11766,5519
0500000US38101,"Ward County, North Dakota",4282,976,7423,3404,13960,25057,24298,23234,6117,5525,4514,2305
0500000US41051,"Multnomah County, Oregon",41305,11303,74054,31759,186393,342301,335164,321743,81953,73974,60868,24518
0500000US42021,"Cambria County, Pennsylvania",6832,2427,12424,5916,21820,55797,54241,51394,22045,19890,16700,8283
0500000US48485,"Wichita County, Texas",8159,2918,15275,7335,26314,51249,49416,45771,14402,13459,10950,5084
0500000US51015,"Augusta County, Virginia",4175,1167,7113,2340,11436,30629,29903,28310,11403,9925,8786,3922
0500000US51550,"Chesapeake city, Virginia",16514,4919,29163,10293,49405,97830,95087,90100,25658,22519,18154,7363
0500000US51770,"Roanoke city, Virginia",5709,1642,10437,3884,21162,42888,42004,40393,14496,12721,10309,4090
0500000US54011,"Cabell County, West Virginia",5030,1427,9059,6746,19404,39941,39247,36180,12604,11281,9599,4291
0500000US55141,"Wood County, Wisconsin",4213,1551,7864,2491,11927,29704,28849,27497,10959,9820,8112,3937
0500000US72061,"Guaynabo Municipio, Puerto Rico",3729,863,5787,3386,14655,38545,37826,36663,14507,13150,11037,5510
0500000US01083,"Limestone County, Alabama",6541,2138,10038,3700,18051,38281,36938,34670,11399,9688,8281,3290
0500000US05051,"Garland County, Arkansas",5024,2031,10274,3906,17247,42584,41782,39738,17184,15464,12743,5829
0500000US08069,"Larimer County, Colorado",19191,5655,34174,24448,75995,145500,142260,131934,41169,36273,29840,11945
0500000US12035,"Flagler County, Florida",4937,2125,9781,3047,15983,50181,48763,47327,22674,20890,18233,8253
0500000US17201,"Winnebago County, Illinois",17854,5606,32316,11666,52389,116952,112856,107652,37640,32956,27646,12477
0500000US24025,"Harford County, Maryland",15596,4614,27162,10772,46259,105380,102625,99088,33229,28993,23947,10546
0500000US30031,"Gallatin County, Montana",6101,1915,11043,7618,25207,44421,43021,40071,10967,9514,7519,2761
