id,Geographic Area Name,total_households,smartphone_households,smartphone_ownership
0500000US40037,"Creek County, Oklahoma",26957,22018,0.8167822828949809
0500000US41039,"Lane County, Oregon",156072,132240,0.8473012455789636
0500000US42001,"Adams County, Pennsylvania",39570,30854,0.7797321202931514
0500000US42041,"Cumberland County, Pennsylvania",102243,81786,0.7999178427863032
0500000US47065,"Hamilton County, Tennessee",146057,122897,0.8414317697885072
0500000US47179,"Washington County, Tennessee",54433,45093,0.8284129112854335
0500000US49005,"Cache County, Utah",39224,35681,0.9096726493983276
0500000US53015,"Cowlitz County, Washington",43279,35686,0.8245569444765359
0500000US54081,"Raleigh County, West Virginia",31169,21901,0.702653277294748
0500000US72013,"Arecibo Municipio, Puerto Rico",30206,19304,0.639078328808846
0500000US01103,"Morgan County, Alabama",45851,36028,0.7857625787878127
0500000US06031,"Kings County, California",43727,37694,0.8620303245134585
0500000US06089,"Shasta County, California",68198,56416,0.8272383354350568
0500000US12073,"Leon County, Florida",113390,101385,0.8941264661786754
0500000US12103,"Pinellas County, Florida",405892,332556,0.8193213958392873
0500000US17093,"Kendall County, Illinois",40716,37275,0.9154877689360448
0500000US26017,"Bay County, Michigan",44469,36170,0.8133756099754885
0500000US26159,"Van Buren County, Michigan",28607,22797,0.7969028559443493
0500000US32031,"Washoe County, Nevada",185709,163579,0.8808350699212208
0500000US33013,"Merrimack County, New Hampshire",58521,47751,0.8159635002819501
0500000US39045,"Fairfield County, Ohio",55934,45916,0.8208960560660779
0500000US45041,"Florence County, South Carolina",50518,40539,0.8024664476028346
0500000US48005,"Angelina County, Texas",29898,24337,0.8140009365174928
0500000US53057,"Skagit County, Washington",48474,40891,0.8435656228081033
0500000US53067,"Thurston County, Washington",110713,94646,0.8548770243783477
0500000US54039,"Kanawha County, West Virginia",78482,62274,0.793481307815805
0500000US55025,"Dane County, Wisconsin",226350,198661,0.8776717472940136
0500000US01097,"Mobile County, Alabama",158627,129208,0.8145397693961306
0500000US06013,"Contra Costa County, California",396133,359390,0.9072457987595075
0500000US12083,"Marion County, Florida",143441,108551,0.7567641051024463
0500000US12091,"Okaloosa County, Florida",79570,70849,0.8903983913535252
0500000US12117,"Seminole County, Florida",179274,161046,0.8983232370561264
0500000US13073,"Columbia County, Georgia",47167,41805,0.8863188246019463
0500000US13095,"Dougherty County, Georgia",33717,26831,0.7957706794791944
0500000US13151,"Henry County, Georgia",75926,68563,0.903023997049759
0500000US13153,"Houston County, Georgia",58155,52522,0.903138165248044
0500000US17183,"Vermilion County, Illinois",30166,22249,0.7375522110985878
0500000US17197,"Will County, Illinois",231647,205737,0.888148778097709
0500000US18141,"St. Joseph County, Indiana",107730,88498,0.8214796249883969
0500000US19163,"Scott County, Iowa",66905,56984,0.8517151184515358
0500000US23019,"Penobscot County, Maine",61765,46186,0.7477697725248927
0500000US26111,"Midland County, Michigan",34091,27009,0.7922618873016338
0500000US26115,"Monroe County, Michigan",61586,49291,0.8003604715357386
0500000US27145,"Stearns County, Minnesota",58510,48675,0.8319090753717313
0500000US35061,"Valencia County, New Mexico",28379,22544,0.7943902181190317
0500000US36101,"Steuben County, New York",40578,30228,0.7449356794322046
0500000US37097,"Iredell County, North Carolina",68328,57272,0.8381922491511533
0500000US38017,"Cass County, North Dakota",74343,64924,0.8733034717458268
0500000US38101,"Ward County, North Dakota",27887,23075,0.8274464804389142
0500000US41051,"Multnomah County, Oregon",330223,297293,0.9002795080899877
0500000US42021,"Cambria County, Pennsylvania",56483,38898,0.6886673866473099
0500000US48485,"Wichita County, Texas",46757,39411,0.8428898346771606
0500000US51015,"Augusta County, Virginia",29783,24155,0.8110331397105731
0500000US51550,"Chesapeake city, Virginia",86122,75720,0.8792178537423655
0500000US51770,"Roanoke city, Virginia",41353,32566,0.7875123932967378
0500000US54011,"Cabell County, West Virginia",38024,30479,0.801572690932043
0500000US55141,"Wood County, Wisconsin",32274,23684,0.7338414823077399
0500000US72061,"Guaynabo Municipio, Puerto Rico",27857,21995,0.7895681516315468
0500000US01083,"Limestone County, Alabama",32333,26811,0.8292147341725172
0500000US05051,"Garland County, Arkansas",40407,34146,0.8450515999703022
0500000US08069,"Larimer County, Colorado",139382,125987,0.9038972033691581
0500000US12035,"Flagler County, Florida",41274,31611,0.7658816688472162
0500000US17201,"Winnebago County, Illinois",114337,94465,0.8261979936503494
0500000US24025,"Harford County, Maryland",94802,80996,0.8543701609670682
0500000US30031,"Gallatin County, Montana",44423,39672,0.8930508970578304
0500000US37157,"Rockingham County, North Carolina",37476,24580,0.6558864339844167
0500000US39155,"Trumbull County, Ohio",83303,65261,0.7834171638476406
0500000US42019,"Butler County, Pennsylvania",77764,61311,0.7884239493853197
0500000US42049,"Erie County, Pennsylvania",109797,86883,0.7913057733817864
0500000US42079,"Luzerne County, Pennsylvania",128301,98798,0.7700485576885605
0500000US45055,"Kershaw County, South Carolina",24756,20118,0.8126514784294716
0500000US51107,"Loudoun County, Virginia",133417,125486,0.9405548018618317
0500000US72135,"Toa Alta Municipio, Puerto Rico",21511,17579,0.8172097996373948
0500000US01073,"Jefferson County, Alabama",255940,211652,0.8269594436195984
0500000US04013,"Maricopa County, Arizona",1582464,1404488,0.887532354606487
0500000US05069,"Jefferson County, Arkansas",25689,21133,0.822647825917708
0500000US05145,"White County, Arkansas",29577,23093,0.7807756026642323
0500000US06079,"San Luis Obispo County, California",106198,91849,0.8648844611009624
0500000US08014,"Broomfield County, Colorado",28530,27395,0.960217315106905
0500000US09009,"New Haven County, Connecticut",335539,275425,0.8208434787014326
0500000US12061,"Indian River County, Florida",57636,41809,0.7253973211187452
0500000US13021,"Bibb County, Georgia",57905,46756,0.8074604956394094
0500000US13089,"DeKalb County, Georgia",287001,255971,0.8918819098191295
0500000US13127,"Glynn County, Georgia",34634,28584,0.8253161633077323
0500000US16001,"Ada County, Idaho",178712,160241,0.8966437620305295
0500000US17111,"McHenry County, Illinois",114544,101567,0.8867072915211621
0500000US17179,"Tazewell County, Illinois",54123,43938,0.8118175267446373
0500000US18053,"Grant County, Indiana",26923,20205,0.7504735727816365
0500000US18081,"Johnson County, Indiana",57504,51062,0.8879730105731776
0500000US19103,"Johnson County, Iowa",60868,54790,0.900144575146218
0500000US26099,"Macomb County, Michigan",347508,292934,0.8429561333839797
0500000US27131,"Rice County, Minnesota",23358,18766,0.803407826012501
0500000US29051,"Cole County, Missouri",29593,25390,0.857973169330585
0500000US29071,"Franklin County, Missouri",40387,33200,0.8220466981949637
0500000US33017,"Strafford County, New Hampshire",48393,40044,0.8274750480441386
0500000US36067,"Onondaga County, New York",185046,144714,0.7820433838072696
0500000US36069,"Ontario County, New York",44079,36618,0.8307357244946573
0500000US37069,"Franklin County, North Carolina",26380,21023,0.7969294920394238
0500000US37161,"Rutherford County, North Carolina",26305,19508,0.7416080593043147
0500000US39169,"Wayne County, Ohio",43908,33413,0.7609774984057575
0500000US41019,"Douglas County, Oregon",45647,35543,0.7786491992902053
