Total Population,id,Geographic Area Name,5 to 14 years,15 to 17 years,Under 18 years,18 to 24 years,15 to 44 years,16 years and over,18 years and over,21 years and over,60 years and over,62 years and over,65 years and over,75 years and over,Male - 5 to 14 years,Male - 15 to 17 years,Male - Under 18 years,Male - 18 to 24 years,Male - 15 to 44 years,Male - 16 years and over,Male - 18 years and over,Male - 21 years and over,Male - 60 years and over,Male - 62 years and over,Male - 65 years and over,Male - 75 years and over,Female - Male - 5 to 14 years,Female - Male - 15 to 17 years,Female - Male - Under 18 years,Female - Male - 18 to 24 years,Female - Male - 15 to 44 years,Female - Male - 16 years and over,Female - Male - 18 years and over,Female - Male - 21 years and over,Female - Male - 60 years and over,Female - Male - 62 years and over,Female - Male - 65 years and over,Female - Male - 75 years and over
66470,0500000US21185,"Oldham County, Kentucky",10822,3144,17124,5347,25277,51121,49346,46711,12881,10814,8651,3201,5083,1604,8242,3081,14299,27534,26507,24917,6097,4894,4076,1348,5739,1540,8882,2266,10978,23587,22839,21794,6784,5920,4575,1853
790638,0500000US25009,"Essex County, Massachusetts",93640,30184,168346,73233,295837,642420,622292,589250,186975,166222,134878,57276,47712,15761,86092,37313,147456,306342,295777,278843,82713,72944,58042,21902,45928,14423,82254,35920,148381,336078,326515,310407,104262,93278,76836,35374
1753893,0500000US26163,"Wayne County, Michigan",227982,71498,414230,151939,678386,1386184,1339663,1276405,386924,338541,270261,112066,116261,36701,211644,76109,332921,656731,633297,600105,170135,146623,114333,43301,111721,34797,202586,75830,345465,729453,706366,676300,216789,191918,155928,68765
102985,0500000US29165,"Platte County, Missouri",14520,4132,24332,7890,40745,81079,78653,75965,21196,18447,15028,5719,7685,2207,12858,4079,20165,39320,37919,36382,10262,8677,6848,2336,6835,1925,11474,3811,20580,41759,40734,39583,10934,9770,8180,3383
70795,0500000US36053,"Madison County, New York",7667,2718,13477,9613,26591,59098,57318,51297,18851,16439,13087,5363,3865,1219,6680,4796,13212,28769,28139,24858,9167,7863,6028,2239,3802,1499,6797,4817,13379,30329,29179,26439,9684,8576,7059,3124
141262,0500000US37159,"Rowan County, North Carolina",18782,6091,31435,12261,53408,113492,109827,103476,32944,30220,24596,10170,10984,3606,18255,5713,26555,55185,53042,50268,14620,13377,11068,4114,7798,2485,13180,6548,26853,58307,56785,53208,18324,16843,13528,6056
102665,0500000US39029,"Columbiana County, Ohio",11696,3650,20872,7846,34557,84414,81793,78258,29161,25566,21175,8795,5781,1900,10222,4453,18526,42909,41367,39652,13403,11656,9721,3502,5915,1750,10650,3393,16031,41505,40426,38606,15758,13910,11454,5293
77516,0500000US41059,"Umatilla County, Oregon",11671,3159,19889,6901,30389,59867,57627,54189,16703,13813,11922,4920,5849,1635,9447,3951,16528,31443,30341,28764,8076,6617,5632,2103,5822,1524,10442,2950,13861,28424,27286,25425,8627,7196,6290,2817
564751,0500000US42045,"Delaware County, Pennsylvania",68812,21755,123763,55610,219730,454702,440988,414706,128930,113729,92451,40892,35030,11289,63560,27882,108718,215568,208527,194808,56885,49372,39202,15574,33782,10466,60203,27728,111012,239134,232461,219898,72045,64357,53249,25318
86184,0500000US42073,"Lawrence County, Pennsylvania",9161,3273,16795,6871,29069,71732,69389,66196,26361,22805,18978,8534,4564,1924,8554,3402,14972,34669,33365,32241,11812,10023,8227,3408,4597,1349,8241,3469,14097,37063,36024,33955,14549,12782,10751,5126
935764,0500000US47157,"Shelby County, Tennessee",130201,38005,233189,86460,380295,729488,702575,666905,191123,165423,127036,48598,66211,19266,118335,43087,184965,339535,326943,307821,82531,70795,52975,18217,63990,18739,114854,43373,195330,389953,375632,359084,108592,94628,74061,30381
126770,0500000US04003,"Cochise County, Arizona",15626,4518,27247,10955,44869,102489,99523,93010,38672,34210,28402,12272,7727,2065,14015,6199,24314,52062,50980,47126,18794,16473,13628,5627,7899,2453,13232,4756,20555,50427,48543,45884,19878,17737,14774,6645
142854,0500000US04005,"Coconino County, Arizona",17294,4888,29455,29016,69046,116671,113399,97108,25698,22956,17813,6652,8789,2674,15138,13254,34097,57225,55383,49053,12494,10939,8589,2945,8505,2214,14317,15762,34949,59446,58016,48055,13204,12017,9224,3707
136373,0500000US06023,"Humboldt County, California",14910,3890,26135,17611,57658,112359,110238,102269,35287,30861,24296,9069,7853,2170,14056,8388,29643,55926,54666,51145,16721,14584,11153,3815,7057,1720,12079,9223,28015,56433,55572,51124,18566,16277,13143,5254
157672,0500000US06039,"Madera County, California",24615,6723,43123,15148,63858,119395,114549,107163,30154,27048,22099,8586,12217,3401,21454,7307,30915,57485,55119,51413,14381,12596,10906,4104,12398,3322,21669,7841,32943,61910,59430,55750,15773,14452,11193,4482
367990,0500000US12097,"Osceola County, Florida",50787,15847,89970,35472,156979,288757,278020,262877,69040,58414,48427,18351,26113,7920,43737,18472,79563,140865,135418,128598,30650,27149,21498,7742,24674,7927,46233,17000,77416,147892,142602,134279,38390,31265,26929,10609
127330,0500000US13059,"Clarke County, Georgia",11753,3177,21439,35036,72562,108297,105891,89333,20634,18683,15023,5756,6139,1866,11358,17264,35319,51130,49764,41866,9181,8388,6792,2143,5614,1311,10081,17772,37243,57167,56127,47467,11453,10295,8231,3613
104062,0500000US13313,"Whitfield County, Georgia",14733,5835,27387,9580,42368,80621,76675,72076,20054,17912,14588,5774,7538,3269,14238,4975,21542,39371,37383,35046,8657,8091,6846,2326,7195,2566,13149,4605,20826,41250,39292,37030,11397,9821,7742,3448
116854,0500000US16019,"Bonneville County, Idaho",21056,5812,36116,9521,46217,84177,80738,76928,20981,18536,15046,6139,11132,2814,18680,4705,23316,41673,40158,38402,9766,8499,6886,2614,9924,2998,17436,4816,22901,42504,40580,38526,11215,10037,8160,3525
111021,0500000US22109,"Terrebonne Parish, Louisiana",17355,3941,28293,9583,43110,85510,82728,80026,23036,20401,16642,6152,8470,2347,14245,5165,21311,40470,39069,37035,10398,9050,7113,2464,8885,1594,14048,4418,21799,45040,43659,42991,12638,11351,9529,3688
102826,0500000US24015,"Cecil County, Maryland",13217,4231,23118,8862,37579,82700,79708,76399,24987,21866,16204,5949,6445,2267,11733,4759,19087,40701,39062,37305,11344,9872,7619,2675,6772,1964,11385,4103,18492,41999,40646,39094,13643,11994,8585,3274
112664,0500000US24037,"St. Mary's County, Maryland",16241,5132,27201,12215,45071,88694,85463,79732,21778,18702,15006,6310,7862,2901,13546,5648,22354,44124,41977,39610,10504,8620,6818,2868,8379,2231,13655,6567,22717,44570,43486,40122,11274,10082,8188,3442
213413,0500000US25001,"Barnstable County, Massachusetts",18868,6517,32580,14237,58834,185817,180833,175153,84127,77074,65453,28131,10044,3371,16611,7805,30321,87194,84572,81314,36902,34069,28524,11700,8824,3146,15969,6432,28513,98623,96261,93839,47225,43005,36929,16431
705388,0500000US25021,"Norfolk County, Massachusetts",82250,27578,147526,61664,269163,576828,557862,533525,165458,146246,118958,52775,41831,13889,74926,30054,132014,272537,263909,252940,72778,63235,50510,20752,40419,13689,72600,31610,137149,304291,293953,280585,92680,83011,68448,32023
259201,0500000US27163,"Washington County, Minnesota",36480,11569,63648,18920,97265,203198,195553,187296,54325,48279,38724,15335,18655,6138,32419,10336,49878,100147,95883,91155,25056,21767,17566,6635,17825,5431,31229,8584,47387,103051,99670,96141,29269,26512,21158,8700
