id,Geographic Area Name,Less than 10 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 44 minutes,45 to 59 minutes,60 or more minutes,Mean travel time to work (minutes)
0500000US08101,"Pueblo County, Colorado",16.6,18.5,20.2,15.5,4.9,8.9,4.2,4.4,6.9,22.6
0500000US12053,"Hernando County, Florida",11.1,15.0,16.2,11.4,5.7,10.2,6.2,9.8,14.4,29.4
0500000US12101,"Pasco County, Florida",9.4,10.6,11.5,11.6,5.5,14.3,8.8,13.2,15.0,32.3
0500000US12115,"Sarasota County, Florida",7.6,11.1,15.8,24.4,4.6,22.8,3.7,6.9,3.1,24.3
0500000US12119,"Sumter County, Florida",17.3,12.4,14.3,9.5,5.7,11.9,9.3,12.2,7.3,26.0
0500000US18011,"Boone County, Indiana",17.5,13.0,13.0,12.6,11.4,14.1,7.4,6.3,4.7,23.0
0500000US26091,"Lenawee County, Michigan",19.1,16.9,12.0,10.9,6.4,8.1,7.2,11.6,7.8,24.7
0500000US29183,"St. Charles County, Missouri",9.0,12.8,15.0,16.3,9.1,15.8,11.2,6.9,3.9,25.2
0500000US29187,"St. Francois County, Missouri",20.7,13.1,19.8,11.8,5.0,6.8,5.2,3.5,13.9,25.8
0500000US36059,"Nassau County, New York",7.4,9.2,10.5,11.4,4.9,14.6,8.1,9.3,24.6,37.4
0500000US36071,"Orange County, New York",12.1,14.6,13.8,9.5,5.2,11.2,5.0,10.3,18.3,34.1
0500000US37133,"Onslow County, North Carolina",21.3,11.5,13.9,15.4,9.0,11.2,6.2,5.9,5.6,22.3
0500000US39113,"Montgomery County, Ohio",14.6,16.4,18.9,18.1,7.9,10.0,5.0,5.6,3.6,21.6
0500000US45045,"Greenville County, South Carolina",10.3,14.8,20.2,18.4,7.4,13.5,6.0,5.2,4.1,23.7
0500000US47059,"Greene County, Tennessee",16.0,14.9,18.0,18.6,6.1,10.5,4.1,7.3,4.3,22.1
0500000US48041,"Brazos County, Texas",13.8,23.6,31.2,15.9,5.4,5.4,1.9,1.0,1.9,16.7
0500000US48209,"Hays County, Texas",11.9,9.7,12.7,10.6,3.3,12.1,8.1,16.0,15.7,32.5
0500000US51059,"Fairfax County, Virginia",5.6,8.2,11.0,12.7,7.5,17.0,11.4,12.8,13.8,32.5
0500000US12081,"Manatee County, Florida",7.7,11.9,18.1,17.4,7.2,17.8,7.1,7.7,5.1,25.6
0500000US13057,"Cherokee County, Georgia",8.6,8.5,10.7,8.6,3.9,16.2,8.7,14.8,20.1,36.1
0500000US13215,"Muscogee County, Georgia",14.6,20.4,20.8,16.9,8.3,10.3,1.7,4.7,2.2,19.4
0500000US15001,"Hawaii County, Hawaii",12.9,14.0,15.6,14.3,5.3,13.7,7.3,7.6,9.3,26.7
0500000US18127,"Porter County, Indiana",12.1,16.7,11.4,12.2,7.0,14.4,9.3,8.4,8.5,27.3
0500000US22057,"Lafourche Parish, Louisiana",15.7,16.2,13.5,8.9,5.4,10.2,8.5,7.1,14.5,31.4
0500000US24510,"Baltimore city, Maryland",6.4,7.5,15.9,16.7,6.7,17.5,8.1,8.2,13.0,31.6
0500000US36083,"Rensselaer County, New York",11.8,9.8,20.3,21.0,9.5,13.2,4.9,5.7,3.8,22.8
0500000US37057,"Davidson County, North Carolina",12.1,13.7,17.4,19.9,8.3,11.9,5.1,6.4,5.2,24.0
0500000US39089,"Licking County, Ohio",11.6,11.9,15.2,14.4,6.2,12.5,8.5,13.8,5.8,26.0
0500000US41029,"Jackson County, Oregon",18.2,19.8,21.5,13.8,6.2,9.9,3.3,3.7,3.4,19.4
0500000US42063,"Indiana County, Pennsylvania",20.2,18.8,13.0,12.5,6.8,11.1,4.7,4.9,7.9,23.4
0500000US45007,"Anderson County, South Carolina",11.0,14.6,19.7,13.3,8.1,11.7,8.0,7.0,6.5,25.5
0500000US48135,"Ector County, Texas",12.4,19.1,16.7,16.2,3.3,14.7,2.0,4.8,10.8,26.1
0500000US48423,"Smith County, Texas",10.8,17.4,16.0,16.0,5.3,20.2,4.9,5.9,3.4,23.6
0500000US48469,"Victoria County, Texas",14.7,28.2,22.1,15.6,4.5,4.7,2.5,2.7,5.0,19.5
0500000US55127,"Walworth County, Wisconsin",20.1,16.2,15.3,10.6,5.3,7.9,6.6,8.1,9.8,25.8
0500000US01127,"Walker County, Alabama",19.2,12.4,9.7,9.9,5.5,11.7,6.2,12.5,12.9,28.7
0500000US05007,"Benton County, Arkansas",13.8,18.9,19.6,19.2,6.6,11.8,4.7,3.5,1.9,19.9
0500000US06101,"Sutter County, California",18.1,20.6,13.0,9.3,4.4,5.8,4.8,10.2,14.1,28.8
0500000US08001,"Adams County, Colorado",6.1,9.0,12.8,14.0,6.9,19.0,10.8,12.9,8.6,29.9
0500000US12087,"Monroe County, Florida",25.6,26.2,18.0,7.5,4.3,7.5,3.6,2.4,4.9,17.8
0500000US12095,"Orange County, Florida",6.5,9.5,13.4,18.0,8.9,17.4,9.9,10.0,6.4,27.9
0500000US13077,"Coweta County, Georgia",10.2,11.2,16.5,15.2,3.1,14.5,9.2,10.1,10.1,28.6
0500000US17099,"LaSalle County, Illinois",21.6,18.1,11.3,11.4,6.8,8.4,6.0,6.7,9.7,24.2
0500000US19113,"Linn County, Iowa",17.7,23.4,24.5,16.0,4.5,6.1,2.9,2.5,2.5,17.7
0500000US27013,"Blue Earth County, Minnesota",24.8,26.8,17.5,10.7,2.9,7.1,3.9,2.4,3.9,19.3
0500000US28047,"Harrison County, Mississippi",13.1,12.3,19.9,18.4,8.6,13.6,4.7,4.5,4.9,24.4
0500000US28049,"Hinds County, Mississippi",8.0,12.6,20.9,21.1,8.8,15.4,6.3,5.0,2.0,22.5
0500000US29099,"Jefferson County, Missouri",9.4,7.6,11.4,9.2,7.1,15.6,13.0,14.9,11.8,32.8
0500000US33009,"Grafton County, New Hampshire",16.6,15.9,17.6,13.8,7.8,8.7,7.6,5.6,6.4,23.2
0500000US36013,"Chautauqua County, New York",27.1,22.8,16.7,8.9,4.5,9.2,3.5,4.2,2.9,17.6
0500000US37067,"Forsyth County, North Carolina",11.4,16.3,21.3,18.3,7.5,12.1,4.7,5.3,3.0,21.7
0500000US39025,"Clermont County, Ohio",8.0,11.2,14.0,12.7,10.1,15.3,14.1,10.5,4.1,26.8
0500000US39041,"Delaware County, Ohio",11.2,11.0,14.4,13.9,8.5,16.3,11.9,8.4,4.3,25.5
0500000US39049,"Franklin County, Ohio",9.8,14.3,19.1,20.8,9.9,14.6,5.2,3.4,3.0,22.0
0500000US39103,"Medina County, Ohio",11.2,13.3,12.7,12.5,6.6,15.0,9.8,12.4,6.4,27.3
0500000US47011,"Bradley County, Tennessee",18.0,15.9,21.3,14.1,3.8,10.6,6.7,5.4,4.1,21.9
0500000US48021,"Bastrop County, Texas",9.8,3.8,12.4,7.4,5.7,12.6,9.5,24.6,14.1,35.0
0500000US48355,"Nueces County, Texas",12.0,17.6,31.6,13.5,4.7,12.0,2.2,3.2,3.2,19.7
0500000US53005,"Benton County, Washington",16.9,21.0,17.3,15.6,5.5,7.3,4.1,7.0,5.4,21.6
0500000US53073,"Whatcom County, Washington",18.8,19.9,17.1,13.2,5.1,10.0,5.4,5.1,5.4,22.2
0500000US04001,"Apache County, Arizona",28.5,12.6,8.9,6.6,1.1,14.6,5.2,8.3,14.3,27.3
0500000US04015,"Mohave County, Arizona",24.2,21.3,19.8,12.9,3.8,4.4,2.8,3.4,7.4,21.2
0500000US04019,"Pima County, Arizona",10.0,12.1,17.3,16.3,7.3,17.0,7.7,7.3,4.9,25.3
0500000US05143,"Washington County, Arkansas",16.1,20.6,18.2,13.5,5.2,13.0,5.6,5.0,2.7,20.5
0500000US06095,"Solano County, California",10.2,12.7,14.1,9.6,4.2,11.4,6.7,10.5,20.5,35.1
0500000US11001,"District of Columbia, District of Columbia",5.1,6.9,9.7,14.8,8.5,21.4,12.0,13.2,8.5,30.9
0500000US12109,"St. Johns County, Florida",10.7,11.9,16.1,12.2,6.4,15.1,8.9,12.8,6.0,26.5
0500000US16083,"Twin Falls County, Idaho",26.0,19.0,16.6,11.5,3.7,10.7,4.1,1.8,6.5,20.6
0500000US17115,"Macon County, Illinois",21.6,22.7,21.4,15.3,4.4,3.6,3.0,4.8,3.2,17.9
0500000US18167,"Vigo County, Indiana",19.9,24.5,21.8,14.1,3.3,4.9,4.2,2.7,4.6,18.6
0500000US21037,"Campbell County, Kentucky",12.4,15.9,13.3,17.1,11.4,12.2,5.9,6.8,5.0,23.9
0500000US22019,"Calcasieu Parish, Louisiana",18.1,14.8,22.3,17.0,6.6,11.0,2.0,3.1,5.1,21.7
0500000US22097,"St. Landry Parish, Louisiana",16.9,12.6,13.6,15.6,2.4,16.7,10.2,3.9,8.1,26.7
0500000US25023,"Plymouth County, Massachusetts",11.1,10.8,10.6,11.3,4.9,11.3,9.0,10.6,20.4,34.2
0500000US29043,"Christian County, Missouri",8.6,9.0,14.0,21.2,10.4,18.4,7.0,7.3,4.1,26.5
0500000US30049,"Lewis and Clark County, Montana",20.8,20.9,26.6,16.5,2.9,3.8,1.6,2.2,4.7,18.3
0500000US35025,"Lea County, New Mexico",28.0,18.8,20.2,11.0,2.4,6.3,1.0,2.1,10.2,21.1
0500000US39157,"Tuscarawas County, Ohio",20.4,12.1,23.5,15.4,5.3,7.6,4.0,5.6,6.2,23.5
0500000US40125,"Pottawatomie County, Oklahoma",17.5,14.1,16.2,11.7,4.0,8.2,9.1,10.4,8.7,25.7
